,Name,Address,Lattitude,Longitude,Faculty,Type,city,district,,,Ariyalur
66,KAMARAJ POLYTECHNIC COLLEGE,"PAZHAVILAI & POST, KANYAKUMARI, Tamil Nadu 629501, India",8.1417018,77.3944495,Polytechnic,Government,Nagercoil,Kanyakumari,,,
67,NPA CENTENARY POLYTECHNIC COLLEGE,"Sakthi Hills, Sakthi Malai Road, Kotagiri, Tamil Nadu 643217, India",11.4311611,76.8639729,Polytechnic,Government,,The Nilgiris,,,
68,GRG POLYTECHNIC COLLEGE,Kuppepalayam SS Kulam ,11.1758347,77.0258452,Polytechnic,Government,,Coimbatore,,,
69,PADMABHUSHAN SRI N RAMASWAMI AYYAR MEMORIAL POLY. COLLEGE,"5 Sankaran Pillai Road, Tiruchirappalli, Tamil Nadu 620002, India",10.8316611,78.6980752,Polytechnic,Government,Tiruchirappalli,Tiruchirappalli,,,
70,AYYA NADAR JANAKI AMMAL POLYTECHNIC COLLEGE,"Vembakottai, SH-187, Sattur Sivakasi Kalukumalai Road, Virudhunagar, Tamilnadu 626141, India",9.412579,77.857482,Polytechnic,Government,Sivakasi,Virudhunagar,,,
71,A.D.J.DHARMAMBAL POLYTECHNIC COLLEGE,"Chennai - Nagapattinam Hwy, Palpannaicherry, Kadambadi, Nagapattinam, Tamil Nadu 611001, India",10.7905979,79.837906,Polytechnic,Government,,Nagapattinam,,,
72,INSTITUTE OF PRINTING TECHNOLOGY,"Rajiv Gandhi IT Expy, CIT Campus, Taramani, Chennai, Tamil Nadu 600113, India",12.9983497,80.2478142,Polytechnic,Others,Chennai,Chennai,,,
73,INSTITUTE OF CHEMICAL TECHNOLOGY,"Tharamani, CIT Campus, Taramani, Chennai, Tamil Nadu 600113, India",12.9955048,80.2484458,Polytechnic,Others,Chennai,Chennai,,,
74,INSTITUTE OF LEATHER TECHNOLOGY,"C I T Campus,Rajiv Gandhi Salai, Tharamani, Chennai, Tamil Nadu 600113, India",12.9945884,80.2493356,Polytechnic,Others,Chennai,Chennai,,,
75,INSTITUTE OF TEXTILE TECHNOLOGY,"Tharamani, CIT Campus, Taramani, Chennai, Tamil Nadu 600113, India",12.9970989,80.2483316,Polytechnic,Others,Chennai,Chennai,,,
76,STATE INSTITUTE OF COMMERCE EDUCATION,"Taramani, Chennai, Tamil Nadu 600113, India",12.9945798,80.2480949,Polytechnic,Others,Chennai,Chennai,,,
77,M.G.R. FILM AND TELEVISION INSTITUTE,"Taramani, Chennai, Tamil Nadu 600113, India",12.9932442,80.2460773,Polytechnic,Others,Chennai,Chennai,,,
78,INSTITUTE OF TOOL ENGINEERING,"SIDCO Industrial Estate, Dindigul, Tamil Nadu 624003, India",10.3491777,77.9879469,Polytechnic,Others,Dindigul,Dindgul,,,
79,REGIONAL LABOUR INSTITUTE,"Sriram Nagar, Kotturpuram, Chennai, Tamil Nadu 600113, India",13.0060857,80.246551,Polytechnic,Others,Chennai,Chennai,,,
80,Annai Fathima Institute of catering administration,"Fathima Nagar, Alampatti Thirumangalam, Madurai, Tamil Nadu 625706, India",9.8076992,77.9551029,Polytechnic,Others,,Madurai,,,
81,BHARATH INSTITUTE OF CATERING TECHNOLOGY & HOTEL MANAGEMENT,"Trichy Rd, AVP Azhagammal Nagar, Thanjavur, Tamil Nadu 613005, India",10.7437131,79.106342,Polytechnic,Others,Thanjavur,Thanjavur,,,
82,V.RAMAKRISHNA POLYTECHNIC COLLEGE,"Manali Road, Thiruvottiyur, Near to Thiruvottiyur Railway Station, Chennai, Tamil Nadu 600019, India",13.1579454,80.294432,Polytechnic,Self Finance,,Thiruvallur,,,
83,MEENAKSHI AMMAL POLYTECHNIC COLLEGE,"Kanchipuram Dist, Tamil Nadu 603406, India",12.6144418,79.7905814,Polytechnic,Self Finance,,Kanchipuram,,,
84,SRI NALLALAGHU NADAR POLYTECHNIC COLLEGE,"GNT Road, Puzhal, Thiruvallur, Chennai, Tamil Nadu 600066, India",13.1790207,80.1970065,Polytechnic,Self Finance,,Thiruvallur,,,
85,ADHIPARASAKTHI POLYTECHNIC COLLEGE,"SH 115, Melmaruvathur, Kanchipuram, Tamil Nadu 603319, India",12.4386873,79.8239377,Polytechnic,Self Finance,,Chengalpattu,,,
86,ARULMIGU THIRUPURASUNDARI AMMAN POLYTECHNIC COLLEGE,"tattikadu road, Egai, Tirukazhukundram, Tamil Nadu 603109, India",12.6039155,80.0809707,Polytechnic,Self Finance,,Chengalpattu,,,
87,SRIRAM POLYTECHNIC COLLEGE,"Sriram Polytechnic College, Perumalpattu, Veppampattu [R.S], Chennai – 602 024, Thiruvallur District – 602 024., India",13.1177604,79.993332,Polytechnic,Self Finance,,Thiruvallur,,,
88,VALLIAMMAI POLYTECHNIC COLLEGE,"Dr Radhakrishnan Rd, Potheri, SRM Nagar, Kattankulathur, Tamil Nadu 603203",12.8255814,80.0448712,Polytechnic,Self Finance,,Chengalpattu,,,
89,SAINT MICHAEL’S POLYTECHNIC COLLEGE,"Chennai, Tamil Nadu 600062, India",13.1782578,80.1292519,Polytechnic,Self Finance,,Thiruvallur,,,
90,MEENAKSHI KRISHNAN POLYTECHNIC COLLEGE,"No.4, Ramson Garden, Gandhi Rd, Shankar Nagar, Pammal, Chennai, Tamil Nadu 600044, India",12.9660043,80.127203,Polytechnic,Self Finance,,Chengalpattu,,,
91,SWAMY ABEDHANANDHA POLYTECHNIC COLLEGE,"SH 5, Thellar, Tamil Nadu 604406, India",12.3918251,79.557302,Polytechnic,Self Finance,,Tiruvanamalai,,,
92,PANDIYAN POLYTECHNIC COLLEGE,"SH18, Adiyur, Tirupattur, Tamil Nadu 635602, India",12.4662251,78.5632461,Polytechnic,Self Finance,,Tirupattur,,,
93,ELUMALAI POLYTECHNIC COLLEGE,"Trichy Trunk Rd, Near New Bus Stand, Salamedu, Villupuram, Tamil Nadu 605602, India",11.9218724,79.4815638,Polytechnic,Self Finance,,Viluppuram,,,
94,D.D.C.S.M POLTECHNIC COLLEGE,"Palacode, Dharmapuri, Tamil Nadu 636808, India",12.3241633,78.0716425,Polytechnic,Self Finance,,Dharmapuri,,,
95,SANKARA POLYTECHNIC COLLEGE,"Thudiyalur Rd, Saravanampatty, Coimbatore, Tamil Nadu 641035, India",11.0846423,76.9855755,Polytechnic,Self Finance,Coimbatore,Coimbatore,,,
96,SREE NARAYANA GURU POLYTECHNIC COLLEGE,"Way to SNGPC, Ettimadai R.F., Tamil Nadu 641105, India",10.8911231,76.9276643,Polytechnic,Self Finance,,Coimbatore,,,
97,NANJIAH LINGAMMAL POLYTECHNIC COLLEGE,"SH 15, Tamil Nadu 641301, India",11.3114641,76.9495427,Polytechnic,Self Finance,,Coimbatore,,,
98,NANJAPPA POLYTECHNIC COLLEGE,"National Highway 47, Karumathampatti, Tamil Nadu 641659, India",11.1315385,77.2024264,Polytechnic,Self Finance,,Coimbatore,,,
99,KONGU POLYTECHNIC COLLEGE,"KEC Campus, R.S.Road, Thoppupalayam, Perundurai, Erode, Tamil Nadu 638052, India",11.2720158,77.6010925,Polytechnic,Self Finance,,Erode,,,
100,ERODE INST.OF CHEMICAL TECHNOLOGY POLYTECH COLLEGE,"Nadupatti, Tamil Nadu 638056, India",11.2074713,77.4872375,Polytechnic,Self Finance,,Tiruppur,,,
101,THIRU RAMAKRISHNA NALLAMMAI POLYTECHNIC COLLEGE,"SH 174, Nallammai Nagar, Kamarajapuram, Dharapuram, Tamil Nadu 638656, India",10.7570882,77.5221491,Polytechnic,Self Finance,,Tiruppur,,,
102,AL-AMEEN POLYTECHNIC COLLEGE,"Nanjaiuthukuli, Erode, SH-84A, Erode Modakurichi Sivagiri Muthur Velakoil Mulanur Road, Erode, Erode, 638104, India",11.2684,77.7694,Polytechnic,Self Finance,,Erode,,,
103,ANNAI J.K.K.SAMPOORANI AMMAL POLYTECHNIC COLLEGE,"Punjaithuraiyampalayam, Tamil Nadu 638506, India",11.5168009,77.3953021,Polytechnic,Self Finance,,Erode,,,
104,THE SALEM POLYTECHNIC COLLEGE,"Gajjalnaickenpatti - Seshanchavadi Rd, Gajjalnaickenpatti, Salem, Tamil Nadu 636201, India",11.5877798,78.1502205,Polytechnic,Self Finance,Salem,Salem,,,
